Source,Target
"Elizabeth, Lady Webster",John Udny
"Elizabeth, Lady Webster",4th Earl of Briston
"Elizabeth, Lady Webster",Deare
"Elizabeth, Lady Webster",Fabroni
"Elizabeth, Lady Webster",Fossombroni
"Elizabeth, Lady Webster",Delfico
"Elizabeth, Lady Webster",Guy Head
"Elizabeth, Lady Webster",Gavin Hamilton
"Elizabeth, Lady Webster",Sposini
"Elizabeth, Lady Webster",Charles Richard Fox
"Elizabeth, Lady Webster",Lord Palmerston
"Elizabeth, Lady Webster",Godfrey Vassal Webster
"Elizabeth, Lady Webster",Henry Vassal Webster
"Elizabeth, Lady Webster",Duchess of Devonshiore
"Elizabeth, Lady Webster","Ferdinand IV, King of Naples and Sicily"
"Elizabeth, Lady Webster","John, Lord Hervey"
"Elizabeth, Lady Webster",Thomas Brand
"Elizabeth, Lady Webster",Lord Bessborough
"Elizabeth, Lady Webster",2nd Earl Grandison
"Elizabeth, Lady Webster",Richard Vassal
"Elizabeth, Lady Webster",Lord Wycombe
"Elizabeth, Lady Webster",Mrs William Wyndham
"Elizabeth, Lady Webster",Mary Mee
John Flaxman,Johsua Reynolds
John Flaxman,Josiah Wedgwood
John Flaxman,George Romney
John Flaxman,Dr Benjamin Bates
John Flaxman,William Ottley
John Flaxman,Piranesi
John Flaxman,Clérisseau
John Flaxman,Farington
John Flaxman,Elizabeth Gibbes
John Flaxman,Percier
John Flaxman,Hugh Douglas Hamilton
John Flaxman,Guy Head
John Flaxman,Henry Howard
John Flaxman,Playfair
John Flaxman,Edward Knight
John Flaxman,Richard Payne Knight
John Flaxman,Harriott Hamilton
John Flaxman,Thomas Hope
John Flaxman,4th Earl of Bristol
John Flaxman,Canova
John Flaxman,Sir William Hamilton
John Flaxman,Parker
John Flaxman,Sir William 6th Bt. Forbes
John Flaxman,Tomaso Piroli
John Flaxman,Countess Spencer
John Flaxman,Angelica Kauffman
John Flaxman,Rev. Mathew
John Flaxman,Prince Augustus Frederick
John Flaxman,Bunce
John Flaxman,Nancy Denman
John Flaxman,Lydia Bates
John Flaxman,Banks
John Flaxman,Tresham
John Flaxman,Cunego
John Flaxman,Devaere
John Flaxman,Giustiniani
John Flaxman,d'Hancarville
John Flaxman,Goethe
John Flaxman,Mrs Hare-Naylor
John Flaxman,Robert Udny
John Flaxman,"Leopold I, Grand Duke of Tuscany"
John Deare,Henry Blundell
John Deare,Sir Cecil Bisshopp
John Deare,Sir Richard Worsley
John Deare,Edward Poore
John Deare,4th Earl of Bristol
John Deare,John Penn
John Deare,William Wilson
John Deare,Sir John Legard
John Deare,"Sir John, 6th Bt. Legard"
John Deare,Sir William 6th Bt. Forbes
John Deare,Sir Corbet
John Deare,"Lord Thomas Noel (Hill), 2nd Baron Berwick"
John Deare,Durno
John Deare,Christopher Hewetson
John Deare,Prince Augustus Frederick
John Deare,George Hadfield
John Deare,William Lambton
John Deare,William Henry Lambton
John Deare,William Artaud
John Deare,Charles Grignion
John Deare,Fagan
John Deare,Edward Gordon
John Deare,Vincenzo Pacetti
John Deare,Leonetti
John Deare,"George Augustus Frederick, Prince of Wales"
John Deare,Alexander Day
John Deare,Wife of John Deare
John Deare,Daughter of John Deare
John Deare,Child of John Deare
Maria Louisa Caterina Cecilia Hadfield,Zoffany
Maria Louisa Caterina Cecilia Hadfield,Wright
Maria Louisa Caterina Cecilia Hadfield,Charles Townley
Maria Louisa Caterina Cecilia Hadfield,Edward Edwards
Maria Louisa Caterina Cecilia Hadfield,Henry Tresham
Maria Louisa Caterina Cecilia Hadfield,Ozias Humphry
Maria Louisa Caterina Cecilia Hadfield,William Parsons
Maria Louisa Caterina Cecilia Hadfield,Thomas Jones
Maria Louisa Caterina Cecilia Hadfield,Joseph Mercer
Maria Louisa Caterina Cecilia Hadfield,Thomas Banks
Maria Louisa Caterina Cecilia Hadfield,Batoni
Maria Louisa Caterina Cecilia Hadfield,Mengs
Maria Louisa Caterina Cecilia Hadfield,Maron
Maria Louisa Caterina Cecilia Hadfield,Prince Hoare
Maria Louisa Caterina Cecilia Hadfield,Lady Wright
Maria Louisa Caterina Cecilia Hadfield,Horace Walpole
Maria Louisa Caterina Cecilia Hadfield,Lady Cowper
Maria Louisa Caterina Cecilia Hadfield,Christopher Hewetson
Maria Louisa Caterina Cecilia Hadfield,Madame Vigée Lebrun
Maria Louisa Caterina Cecilia Hadfield,Angelica Kauffman
Maria Louisa Caterina Cecilia Hadfield,William Hadfield
Maria Louisa Caterina Cecilia Hadfield,Gabriele Rottini
Maria Louisa Caterina Cecilia Hadfield,Alexander Day
Maria Louisa Caterina Cecilia Hadfield,Charles Hadfield
Maria Louisa Caterina Cecilia Hadfield,Viollante Cerroti
Maria Louisa Caterina Cecilia Hadfield,Mrs Banks
Maria Louisa Caterina Cecilia Hadfield,Fuseli
Maria Louisa Caterina Cecilia Hadfield,James Northcote
Maria Louisa Caterina Cecilia Hadfield,George Hadfield
Maria Louisa Caterina Cecilia Hadfield,Mary Berry
Maria Louisa Caterina Cecilia Hadfield,Richard Cosway
Maria Louisa Caterina Cecilia Hadfield,Mrs Hadfield
Christopher Hewetson,Henry Benbridge
Christopher Hewetson,Charles Townley
Christopher Hewetson,"Sir Watkin Williams, 4th Bt. Wynn"
Christopher Hewetson,"Frederick Hervey, Bishop of Derry"
Christopher Hewetson,James Hugh Smith Barry
Christopher Hewetson,"Baldwin, Provost of Trinity College Dublin"
Christopher Hewetson,James James Irvine
Christopher Hewetson,"Clement XIV, Pope"
Christopher Hewetson,Fr. John Thorpe
Christopher Hewetson,Fr. John Thorpe
Christopher Hewetson,"William Henry, Duke of Gloucester"
Christopher Hewetson,Mengs
Christopher Hewetson,"Azara, Spanish ambassador at Rome"
Christopher Hewetson,Cardinal Giambattista Rezzonico
Christopher Hewetson,Henry Quin
Christopher Hewetson,Canova
Christopher Hewetson,"Clement XIII, Pope"
Christopher Hewetson,Johann Pichler
Christopher Hewetson,Mrs Hare-Naylor
Christopher Hewetson,John Penn
Christopher Hewetson,Emma Hamilton
Christopher Hewetson,Abbé Waters
Christopher Hewetson,Prince Augustus Frederick
Christopher Hewetson,Henry Bunbury
Christopher Hewetson,Tofanelli
Christopher Hewetson,"Maria Fyodorovna, Grand Duchess of Russia"
Christopher Hewetson,Leibniz
Christopher Hewetson,"Pitt, Lord Chatham"
John Andrew Graefer,Sir Joseph Banks
John Andrew Graefer,Caroline Graefer
John Andrew Graefer,"Maria Carolina, Queen of Naples"
John Andrew Graefer,Emma Hamilton
John Andrew Graefer,Richard Colt Hoare
John Andrew Graefer,Nelson
John Andrew Graefer,"Ferdinand IV, King of Naples"
John Andrew Graefer,Emma Graefer
John Andrew Graefer,Caroline Graefer
Mary Mee,Charles Blagden
Mary Mee,Mary Carter
Mary Mee,"Henry Temple, 2nd Viscount Palmerston"
Mary Mee,Cardinal de Bernis
Mary Mee,Colin Morison
Mary Mee,Lady Plymouth
Mary Mee,Lady Cholmondeley
Mary Mee,Elizabeth Temple
Mary Mee,Count Rumford
Mary Mee,Peter Beckford
Mary Mee,"Emma, Lady Hamilton"
Mary Mee,Princess Belmonti
Mary Mee,Henry John Temple
Mary Mee,Lady Margaret Georgiana Spencer
Mary Mee,Lady Webster
Mary Mee,Madame Adelaide de France
Mary Mee,Madame Victorie de France
Mary Mee,"Ferdinand IV, King of Naples and Sicily"
Mary Mee,Duchess of Devonshire
Mary Mee,Lady Bessborough
Mary Mee,Harry Temple
Mary Mee,William Beckford
Mary Mee,Harriet Beckford
Mary Mee,"Second Daughter of Henry Temple, 2nd Viscount Palmerston"
Mary Mee,"Third Daughter of Henry Temple, 2nd Viscount Palmerston"
"Sir Gilbert, 4th Bt. Elliot",Sir John Coxe Hippisley
"Sir Gilbert, 4th Bt. Elliot",Admiral Hood
"Sir Gilbert, 4th Bt. Elliot",Anna Maria Amyand
"Sir Gilbert, 4th Bt. Elliot",Elizabeth Wynne
"Sir Gilbert, 4th Bt. Elliot",Capt. Thomas Fremantle
"Sir Gilbert, 4th Bt. Elliot",Nelson
"Sir Gilbert, 4th Bt. Elliot","George III, King of England"
"Sir Gilbert, 4th Bt. Elliot",Gen. Paoli
"Sir Gilbert, 4th Bt. Elliot","Maria Carolina, Queen of Naples"
"Sir Gilbert, 4th Bt. Elliot","Ferdinand I, King of Naples"
"Sir Gilbert, 4th Bt. Elliot","First Child of Sir Gilbert, 4th Bt. Elliot"
"Sir Gilbert, 4th Bt. Elliot","Second Child of Sir Gilbert, 4th Bt. Elliot"
"Anna (Vernon), Baroness Berwick",Henrietta Maria Hill
"Anna (Vernon), Baroness Berwick",Robert Parker
"Anna (Vernon), Baroness Berwick",Lord Bruce
"Anna (Vernon), Baroness Berwick",Betsey Wynne
"Anna (Vernon), Baroness Berwick",Anne Hill
"Anna (Vernon), Baroness Berwick","Phillipina (Deane), Lady Knight"
"Anna (Vernon), Baroness Berwick",Sir Richard Worsley
"Anna (Vernon), Baroness Berwick",Leveson Vernon
"Anna (Vernon), Baroness Berwick",Thomas Brand
"Anna (Vernon), Baroness Berwick",Emily Hill
"Anna (Vernon), Baroness Berwick","Thomas, 2nd Baron Thomas Noel (Hill), 2nd Baron Berwick"
John Bacon Sawrey Morritt,Rev. Percival Stockdale
John Bacon Sawrey Morritt,4th Earl of Bristol
John Bacon Sawrey Morritt,Adml. William Hotham
John Bacon Sawrey Morritt,Emma Hamilton
John Bacon Sawrey Morritt,"Ferdinand IV, King of Naples and Sicily"
Guy Head ,Joshua Reynolds
Guy Head ,James Robson
Guy Head ,"Francis Garden, Lord Gardenstone"
Guy Head ,Elizabeth Cooper
Guy Head ,Elizabeth Gibbes
Guy Head ,Hewetson
Guy Head ,Vincenzo Pacetti
Guy Head ,James James Irvine
Guy Head ,Flaxman
Guy Head ,4th Earl of Bristol
Guy Head ,Grignion
Guy Head ,Prince Augustus Frederick (Duke of Sussex)
Guy Head ,J.M. Gandy
Guy Head ,Durno
Guy Head ,Henry Hope
Guy Head ,John Coxe Hippisley
Guy Head ,Lord Camelford (formerly Thomas Pitt)
Guy Head ,Vincenzo Camuccini
Guy Head ,Raffaele Morghen
Guy Head ,Mrs Flaxman
Guy Head ,Nelson
Guy Head ,Lady Emma Hamilton
Guy Head ,Charles Lock
Guy Head ,Philipp Hackert
Guy Head ,Ducros
Guy Head ,Mrs Hare-Naylor
Guy Head ,Daniel du Pre
Guy Head ,Canova
Guy Head ,Thomas Hope
Guy Head ,"Joseph-Benoît Suvée, Director of the French Academy in Rome"
Guy Head ,Jacob More
Guy Head ,Kauffman
Guy Head ,Jane Lewthwaite
Guy Head ,Son of Guy Head
Guy Head ,First Daughter of Guy Head
Guy Head ,Second Daughter of Guy Head
Guy Head ,Thomas Head
Guy Head ,Horatio Nelson Head
"Francis Garden, Lord Gardenstone",Talane
"Francis Garden, Lord Gardenstone",Thomas Jenkins
"Francis Garden, Lord Gardenstone",Tomaso Nistri
"Francis Garden, Lord Gardenstone",Nicolo Passeri
"Francis Garden, Lord Gardenstone",James Clark
"Francis Garden, Lord Gardenstone",John Taylor
"Francis Garden, Lord Gardenstone",Skirving
"Francis Garden, Lord Gardenstone",Gavin Hamilton
"Francis Garden, Lord Gardenstone",Keyssler
"Francis Garden, Lord Gardenstone",Dr John Moore
"Francis Garden, Lord Gardenstone",Bishop Burnet
"Francis Garden, Lord Gardenstone",Durno
"Francis Garden, Lord Gardenstone",Alexander Garden
James Clark,James Byres
James Clark,Thomas Jenkins
James Clark,James Grant
James Clark,Abbé Grant
James Clark,George Tierney
James Clark,William Danby
James Clark,Hippisley
James Clark,"George Augustus Herbert, Lord Herbert"
James Clark,Thomas Hardwick
James Clark,Alexander Drummond
James Clark,John Ramsay
James Clark,James Clitherow
James Clark,Thomas Chinnal Porter
James Clark,Sir Ludovick Grant
James Clark,Sir Hew Dalrymple
James Clark,Lord Deskford
James Clark,Mr Grant
"Phillipina (Deane), Lady Knight",Mrs Drake
"Phillipina (Deane), Lady Knight","Emma, Lady Hamilton"
"Phillipina (Deane), Lady Knight",Thomas Brand
"Phillipina (Deane), Lady Knight",Madame Adelaide de France
"Phillipina (Deane), Lady Knight",Prince Augustus Frederick
"Phillipina (Deane), Lady Knight",Robert Fagan
"Phillipina (Deane), Lady Knight",Lady Plymouth
"Phillipina (Deane), Lady Knight",Thomas Jenkins
"Phillipina (Deane), Lady Knight",Angelica Kauffman
"Phillipina (Deane), Lady Knight",Cornelia Knight
"Phillipina (Deane), Lady Knight",Bodoni
"Phillipina (Deane), Lady Knight",Lady Bruce
"Phillipina (Deane), Lady Knight",Duchess of Cesi
"Phillipina (Deane), Lady Knight",Lord Nelson
"Phillipina (Deane), Lady Knight",Adml. Sir Joseph Knight
"Phillipina (Deane), Lady Knight",Cardinal de Bernis
"Phillipina (Deane), Lady Knight",Prince of Palestrina
"Phillipina (Deane), Lady Knight","Maria Carolina of Habsburg, Queen of Naples"
"Phillipina (Deane), Lady Knight",Madame Victorie de France
"Phillipina (Deane), Lady Knight",Lady Webster
"Phillipina (Deane), Lady Knight",James Jenkins
"Phillipina (Deane), Lady Knight",John Jenkins
"Phillipina (Deane), Lady Knight",Samuel Johnson
"Phillipina (Deane), Lady Knight",Lord Bruce
"Phillipina (Deane), Lady Knight","Ferdinand IV, King of Naples and Sicily"
"Phillipina (Deane), Lady Knight",Duke of Cesi
Capt. John Jervis,"William Henry, Duke of Gloucester"
Charles Lock,"Elizabeth (Hervey), Lady Foster"
Charles Lock,Emma Hamilton
Charles Lock,Nelson
Charles Lock,"Maria Carolina, Queen of Naples and Sicily"
Charles Lock,"Ferdinand IV, King of Naples and Sicily"
Charles Lock,Cecilia Margaret Ogilvie
Charles Lock,First Child of Charles Lock
Charles Lock,Second Child of Charles Lock
Charles Lock,Third Child of Charles Lock
Thomas Hope,Pacetti
Thomas Hope,G.A. Wallis
Thomas Hope,Mrs Flaxman
Thomas Hope,Jacques Sablet
Thomas Hope,Henry Philip Hope
Thomas Hope,Thomas Jenkins
Thomas Hope,Fagan
Thomas Hope,Pierantoni
Thomas Hope,Adrian Elias Hope
Thomas Hope,d'Hancarville
Thomas Hope,Prince D. Sigismondo Chigi
David Allan,Lord Cathcart
David Allan,Lady Charlotte Erskine
David Allan,Andrew Lumisden
David Allan,James Nevay
David Allan,James Northcote
David Allan,Thomas Graham
David Allan,"Emma, Lady Hamilton"
David Allan,Fr. John Thorpe
David Allan,Monsignor Giacomelli
David Allan,"Henry Bellings, 8th Baron Arundell"
David Allan,Gavin Hamilton
David Allan,Domenico Corvi
David Allan,Cardinal York
David Allan,Patrick Home
David Allan,Lady Frances
David Allan,Mrs Abercrombie of Tullibody
Charles Edward Louis Philip Casimir Stuart,Duke of Liria (later 2nd Duke of Berwick)
Charles Edward Louis Philip Casimir Stuart,Charles de Brosses
Charles Edward Louis Philip Casimir Stuart,Antonio David
Charles Edward Louis Philip Casimir Stuart,Dupra
Charles Edward Louis Philip Casimir Stuart,Giles Hussey
Charles Edward Louis Philip Casimir Stuart,Rosalba Carriera
Charles Edward Louis Philip Casimir Stuart,Batoni
Charles Edward Louis Philip Casimir Stuart,Clementina Walkinshaw
Charles Edward Louis Philip Casimir Stuart,"Clement XIII, Pope"
Charles Edward Louis Philip Casimir Stuart,John Hay
Charles Edward Louis Philip Casimir Stuart,Andrew Lumisden
Charles Edward Louis Philip Casimir Stuart,Capt. Adam Urquhart
Charles Edward Louis Philip Casimir Stuart,Stafford
Charles Edward Louis Philip Casimir Stuart,Princess Louise of Stolberg-Gedern
Charles Edward Louis Philip Casimir Stuart,"Clement XIV, Pope"
Charles Edward Louis Philip Casimir Stuart,Baron de Renfrew
Charles Edward Louis Philip Casimir Stuart,Count Vittorio Alfieri
Charles Edward Louis Philip Casimir Stuart,Charles Parker
Charles Edward Louis Philip Casimir Stuart,Charlotte Stuart
Charles Edward Louis Philip Casimir Stuart,"Henry Benedict Stuart, Cardinal of York"
Charles Edward Louis Philip Casimir Stuart,Laurent Pêcheux
Charles Edward Louis Philip Casimir Stuart,Ozias Humphry
Charles Edward Louis Philip Casimir Stuart,Hugh Douglas Hamilton
Charles Edward Louis Philip Casimir Stuart,"James Stuart, the Pretender"
Charles Edward Louis Philip Casimir Stuart,Count of Albany
Charles Edward Louis Philip Casimir Stuart,L.-G. Blanchet
Charles Edward Louis Philip Casimir Stuart,Duchess of Parma
Charles Edward Louis Philip Casimir Stuart,Liotard
Mrs Mary Cadogan,"Emma, Lady Hamilton"
Mrs Mary Cadogan,Lady Palmerston
"Louisa (Skirne), Lady Clarges",Lady Hampden
"Louisa (Skirne), Lady Clarges",John Trevor
"Louisa (Skirne), Lady Clarges",William Blackett
"Louisa (Skirne), Lady Clarges",Thomas Jenkins
"Louisa (Skirne), Lady Clarges",William Skrine
"Louisa (Skirne), Lady Clarges",Sir Thomas Clarges
"Louisa (Skirne), Lady Clarges",Marquis del Bourg
Nathaniel Marchant,4th Duke of Marlborough
Nathaniel Marchant,Solomon Delane
Nathaniel Marchant,Henry Tresham
Nathaniel Marchant,Francesco Piranesi
Nathaniel Marchant,James Hugh Smith Barry
Nathaniel Marchant,Fr. John Thorpe
Nathaniel Marchant,Pichler
Nathaniel Marchant,Flaxman
Nathaniel Marchant,"Pius VI, Pope"
Nathaniel Marchant,"Emma, Lady Hamilton"
Nathaniel Marchant,"William Henry, Duke of Gloucester"
Nathaniel Marchant,Countess of Albany
Nathaniel Marchant,Charles Townley
Nathaniel Marchant,Richard Payne Knight
Nathaniel Marchant,Philipp Hackert
Nathaniel Marchant,Thomas Banks
Nathaniel Marchant,"George Augustus Herbert, Lord Herbert"
Nathaniel Marchant,Lord Gardenstone
Nathaniel Marchant,Pacetti
Nathaniel Marchant,Charles Long
Nathaniel Marchant,Countess Spencer
Nathaniel Marchant,"George Augustus Frederick, Prince of Wales"
Nathaniel Marchant,Costanzi
Nathaniel Marchant,"Stanislaus II, King of Poland"
Nathaniel Marchant,"Elizabeth Herbert, Countess of Pembroke"
James Irvine,Henry Quin
James Irvine,John Richmond Smyth
James Irvine,John Ramsay
James Irvine,Domenico Cunego
James Irvine,Sir John Irwin
James Irvine,Gavin Hamilton
James Irvine,4th Earl of Bristol
James Irvine,George Manley
James Irvine,Robert Fagan
James Irvine,Charles Grignion
James Irvine,Pars
James Irvine,Mrs Irvine
John Francis Edward Acton,"Maria Carolina, Queen of Naples and Sicily"
John Francis Edward Acton,Joseph Edward Acton
John Francis Edward Acton,Robert Fagan
John Francis Edward Acton,Bartolozzi
John Francis Edward Acton,"Leopold II, Grand Duke of Tuscany"
John Francis Edward Acton,Antonio d'Este
John Francis Edward Acton,Mary Anne Acton
John Francis Edward Acton,John Acton
John Francis Edward Acton,Ferdinand Richard Edward Acton
John Francis Edward Acton,Charles Januarius Edward Acton
John Francis Edward Acton,Elizabeth Acton
Thomas Hudson,Joshua Reynolds
Thomas Hudson,Roubiliac
Henry Lyte,"John, Lord Brudenell"
Henry Lyte,"George, Lord Cardigan"
Henry Lyte,Mengs
Henry Lyte,Fitzherbert
Henry Lyte,"William, 5th Duke of Devonshire"
Henry Lyte,Patch
Richard Wilson,Sig. Zuccarelli
Richard Wilson,Joseph Smith
Richard Wilson,Sackville
Richard Wilson,Lord Middlesex
Richard Wilson,William Lock
Richard Wilson,Samuel Hone
Richard Wilson,Thomas Hollis
Richard Wilson,Joseph Vernet
Richard Wilson,Mengs
Richard Wilson,Horace Mann
Richard Wilson,Cardinal Albani
Richard Wilson,Ralph Howard (later Viscount Wicklow)
Richard Wilson,James Russel
Richard Wilson,Joseph Henry
Richard Wilson,"William Legge, 2nd Earl of Dartmouth"
Richard Wilson,Matthew Brettingham
Richard Wilson,"Peter, 4th Bt. Leicester"
Richard Wilson,Viscount Bolingbroke
Richard Wilson,Stephen Beckingham
Richard Wilson,Thomas Brand
Richard Wilson,Lord Strafford
Richard Wilson,Robert Crone
Richard Wilson,John Plimmer
Richard Wilson,A.F. Harper
Richard Wilson,Johannes Wiedewelt
Richard Wilson,Johan Mandelberg
Richard Wilson,Jonathan Skelton
Richard Wilson,Hayward
Richard Wilson,William Chambers
Richard Wilson,Farington
Richard Wilson,Earl of Essex
Richard Wilson,Athenian Stuart
Richard Wilson,Earl of Thanet
Richard Wilson,Earl of Pembroke
Thomas Brand,Thomas Hollis
Thomas Brand,Pozzi
Thomas Brand,"William Legge, 2nd Earl of Dartmouth"
Thomas Brand,"Frederick North, Lord North"
Thomas Brand,Bocquet
Thomas Jenkins,Sir James Gray
Thomas Jenkins,Joseph Smith
Thomas Jenkins,Andrea Pozzi
Thomas Jenkins,Richard Wilson
Thomas Jenkins,Tibaldi
Thomas Jenkins,Pancrazi
Thomas Jenkins,Blackburne
Thomas Jenkins,Francesco Algarotti
Thomas Jenkins,Camillo Paderni
Thomas Jenkins,Piranesi
Thomas Jenkins,Abbé Venuti
Thomas Jenkins,William Taylor How
Thomas Jenkins,Capithorne
Thomas Jenkins,Canaletto
Thomas Jenkins,George Tatem
Thomas Jenkins,Stanier Porten
Thomas Jenkins,Murry
Thomas Jenkins,Hugford
"William Legge, 2nd Earl of Dartmouth",Batoni
"William Legge, 2nd Earl of Dartmouth",Farington
"William Legge, 2nd Earl of Dartmouth",G.B. Busiri
"William Legge, 2nd Earl of Dartmouth",Charles Dampier
"William Legge, 2nd Earl of Dartmouth",James Russel
"William Legge, 2nd Earl of Dartmouth",Parker
"William Legge, 2nd Earl of Dartmouth","Frederick North, Lord North"
"William Legge, 2nd Earl of Dartmouth",Christopher Golding
"William Legge, 2nd Earl of Dartmouth",Momper
Stephen Beckingham,Batoni
Stephen Beckingham,Jacob Ennis
Stephen Beckingham,Simon Vierpyl
Stephen Beckingham,J.B. Lallemand
Stephen Beckingham,Christiano Dehn
Stephen Beckingham,Clérisseau
Stephen Beckingham,Paolo Fidanza
Stephen Beckingham,Greenhill
James Russel,Dr Mead
James Russel,Camillo Paderni
James Russel,Francesco Imperiali
James Russel,William Drake
James Russel,Edward Holdsworth
James Russel,Rev. Thomas Townson
James Russel,James Dawkins
James Russel,Ralph Howard
James Russel,Rowland Holt
James Russel,Mr Castleton
James Russel,Christopher Fortescue
James Russel,John Bouverie
James Russel,Richard Phelps
James Russel,Stephen Whatley
James Russel,Marcello de Venuti
James Russel,Ridolfino Venuti
James Russel,Horatio Walpole
James Russel,Mark Parker
James Russel,John Monro
James Russel,John Parker
James Russel,Lord George Augustus Cavendish
James Russel,Robert Lowth
James Russel,Lord Pulteney
James Russel,Henry Seymour
James Russel,Lord Bruce
James Russel,Sir Thomas Kennedy
James Russel,Lascelles Iremonger
James Russel,Benjamin Lethieullier
James Russel,Thomas Scrope
James Russel,John Quick
James Russel,Mr Fitzhugh
James Russel,Piranesi
James Russel,Lord Charlemont
James Russel,Wilson
James Russel,Mengs
James Russel,Anthony Swymmer
James Russel,George Dance
James Russel,Sir Richard Lyttleton
James Russel,Thomas Pitt (later Lord Camelford)
James Russel,Batoni
James Russel,Crespin
James Russel,Abbé Venuti
James Russel,Marsh
James Russel,Lord Mansell
James Russel,Lord Quarendon
James Russel,Sir R. Newdigate
James Russel,Mr Dashwood
James Russel,Earl of Lincoln
James Russel,Princess Clementina Sobieska
James Russel,"James Stuart, the Pretender"
James Russel,Henry Benedict Stuart
James Russel,Lord Frederick Cavendish
James Russel,William Lee
James Russel,Duchess of Bridgewater
James Russel,Duke of Bridgewater
James Russel,Rev. Richard Russel
John Parker,Mark Parker
John Parker,Horace Mann
John Parker,Lord Charlemont
John Parker,Thomas Warner
John Parker,Patch
John Parker,Piranesi
John Parker,"John, Lord Brudenell"
John Parker,Marco Benefial
John Parker,Monte Celio
John Parker,Luigi Vanvitelli
John Parker,William Chambers
John Parker,Sir William Stanhope
John Parker,John Parker
John Parker,Farnese
John Parker,Sig Bracci
John Parker,Vierpyl
John Parker,Cardinal Corsini
James Forrester,Robert Crone
James Forrester,Jacob Ennis
James Forrester,George Dance
James Forrester,Peter Stephens
James Forrester,Joseph Nollekens
James Forrester,Father John Thorpe
James Forrester,Hugh Primrose Dean
James Forrester,Solomon Delane
James Forrester,Philipp Hackert
James Forrester,"William, Earl Fitzwilliam"
James Forrester,"William Henry, Duke of Gloucester"
James Forrester,Lord Bute
James Forrester,"Henry Bellings, 8th Baron Arundell"
James Forrester,Lord Shelburne
James Forrester,Col. Ward
James Forrester,1st Earl of Portarlington
James Forrester,"Sir Watkin Williams, 4th Bt. Wynn"
James Forrester,Jonathan Skelton
James Forrester,George Robertson
James Forrester,Richard Dalton
James Forrester,Esther Dalton
James Forrester,Joseph Rose
James Forrester,Gavin Hamilton
James Forrester,Miss Robinson
James Forrester,Benjamin West
James Forrester,Mengs
James Forrester,Timothy Collopy
James Forrester,Thomas Dashwood
James Forrester,L-G. Blanchet
James Forrester,Miss De Angelis
Andrew Lumisden,John Daniel
Andrew Lumisden,James Edgar
Andrew Lumisden,John Hay
Andrew Lumisden,Capt. Adam Urquhart
Andrew Lumisden,Jonathan Skelton
Andrew Lumisden,Boswell
Andrew Lumisden,Katherine Read
Andrew Lumisden,Anne Forbes
Andrew Lumisden,Piranesi
Andrew Lumisden,Robert Strange
Andrew Lumisden,Mengs
Andrew Lumisden,James Byres
Andrew Lumisden,Edward Cunningham
Andrew Lumisden,Colin Morison
Andrew Lumisden,James Nevay
Andrew Lumisden,George Willison
Andrew Lumisden,Campbell
Andrew Lumisden,"James Stuart, the Pretender"
Andrew Lumisden,Chalmers
Andrew Lumisden,Cosmo Alexander
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Col. John Chastellain
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Lady Mary Wortley Montagu
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Marchesa Corsi
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Horace Mann
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Jacob Houblon
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Rev. Jonathan Lipyeatt
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",James Russel
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Robert Strange
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Sir Henry Mainwaring
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Patch
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Mengs
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Count Volta
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Francis Harwood
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Giuseppe Macpherson
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Zoffany
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Hannah Gore
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Zuccarelli
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Philipp Hackert
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",H.P. Dean
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Ozias Humphry
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",John Brown
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",G.A. Fabrini
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Hugh Douglas Hamilton
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Jacob More
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper","John Spencer, 1st Viscount Spencer"
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Duke of Dorset
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Carlo Dolci
